id,value
WorldReligions,
WorldReligions.AbrahamicReligions--Unix,1
WorldReligions.AbrahamicReligions--Unix.Judaism--Solaris,1
WorldReligions.AbrahamicReligions--Unix.Christianity--Linux,1
WorldReligions.AbrahamicReligions--Unix.Christianity--Linux.Catholic--Fedora,1
WorldReligions.AbrahamicReligions--Unix.Christianity--Linux.Protestant--Debian,1
WorldReligions.AbrahamicReligions--Unix.Christianity--Linux.Protestant--Debian.Lutheran--Ubuntu,1
WorldReligions.AbrahamicReligions--Unix.Islam--BSD,1
WorldReligions.AbrahamicReligions--Unix.Islam--BSD.Sunni--OpenBSD,1
WorldReligions.AbrahamicReligions--Unix.Islam--BSD.Shia--macOS,1
WorldReligions.Buddhism-Windows,1
